Image.name,Site,Date,Transect,Quadrat
BZE2025_CBC_FOREREEF_T1_Q1_R.JPG,BZE_CBC_FOREREEF,11/15/25,T1,Q1
BZE2025_CBC_FOREREEF_T1_Q10_R.JPG,BZE_CBC_FOREREEF,11/15/25,T1,Q10
BZE2025_CBC_FOREREEF_T1_Q2_R.JPG,BZE_CBC_FOREREEF,11/15/25,T1,Q2
BZE2025_CBC_FOREREEF_T1_Q3_R.JPG,BZE_CBC_FOREREEF,11/15/25,T1,Q3
BZE2025_CBC_FOREREEF_T1_Q4_R.JPG,BZE_CBC_FOREREEF,11/15/25,T1,Q4
BZE2025_CBC_FOREREEF_T1_Q5_R.JPG,BZE_CBC_FOREREEF,11/15/25,T1,Q5
BZE2025_CBC_FOREREEF_T1_Q6_R.JPG,BZE_CBC_FOREREEF,11/15/25,T1,Q6
BZE2025_CBC_FOREREEF_T1_Q7_R.JPG,BZE_CBC_FOREREEF,11/15/25,T1,Q7
BZE2025_CBC_FOREREEF_T1_Q8_R.JPG,BZE_CBC_FOREREEF,11/15/25,T1,Q8
BZE2025_CBC_FOREREEF_T1_Q9_R.JPG,BZE_CBC_FOREREEF,11/15/25,T1,Q9
BZE2025_CBC_FOREREEF_T2_Q1_R.JPG,BZE_CBC_FOREREEF,11/15/25,T2,Q1
BZE2025_CBC_FOREREEF_T2_Q10_R.JPG,BZE_CBC_FOREREEF,11/15/25,T2,Q10
BZE2025_CBC_FOREREEF_T2_Q2_R.JPG,BZE_CBC_FOREREEF,11/15/25,T2,Q2
BZE2025_CBC_FOREREEF_T2_Q3_R.JPG,BZE_CBC_FOREREEF,11/15/25,T2,Q3
BZE2025_CBC_FOREREEF_T2_Q4_R.JPG,BZE_CBC_FOREREEF,11/15/25,T2,Q4
BZE2025_CBC_FOREREEF_T2_Q5_R.JPG,BZE_CBC_FOREREEF,11/15/25,T2,Q5
BZE2025_CBC_FOREREEF_T2_Q6_R.JPG,BZE_CBC_FOREREEF,11/15/25,T2,Q6
BZE2025_CBC_FOREREEF_T2_Q7_R.JPG,BZE_CBC_FOREREEF,11/15/25,T2,Q7
BZE2025_CBC_FOREREEF_T2_Q8_R.JPG,BZE_CBC_FOREREEF,11/15/25,T2,Q8
BZE2025_CBC_FOREREEF_T2_Q9_R.JPG,BZE_CBC_FOREREEF,11/15/25,T2,Q9
BZE2025_CBC_FOREREEF_T3_Q1_R.JPG,BZE_CBC_FOREREEF,11/15/25,T3,Q1
BZE2025_CBC_FOREREEF_T3_Q10_R.JPG,BZE_CBC_FOREREEF,11/15/25,T3,Q10
BZE2025_CBC_FOREREEF_T3_Q2_R.JPG,BZE_CBC_FOREREEF,11/15/25,T3,Q2
BZE2025_CBC_FOREREEF_T3_Q3_R.JPG,BZE_CBC_FOREREEF,11/15/25,T3,Q3
BZE2025_CBC_FOREREEF_T3_Q4_R.JPG,BZE_CBC_FOREREEF,11/15/25,T3,Q4
BZE2025_CBC_FOREREEF_T3_Q5_R.JPG,BZE_CBC_FOREREEF,11/15/25,T3,Q5
BZE2025_CBC_FOREREEF_T3_Q6_R.JPG,BZE_CBC_FOREREEF,11/15/25,T3,Q6
BZE2025_CBC_FOREREEF_T3_Q7_R.JPG,BZE_CBC_FOREREEF,11/15/25,T3,Q7
BZE2025_CBC_FOREREEF_T3_Q8_R.JPG,BZE_CBC_FOREREEF,11/15/25,T3,Q8
BZE2025_CBC_FOREREEF_T3_Q9_R.JPG,BZE_CBC_FOREREEF,11/15/25,T3,Q9
BZE2025_CBC_FOREREEF_T4_Q1_R.JPG,BZE_CBC_FOREREEF,11/15/25,T4,Q1
